SNe	Obs	redshift	BminusV	Type1	Type2	Type3	Bmax	Vmax	Rmax	Imax	B_scores1	V_scores1	R_scores1	I_scores1	B_scores2	V_scores2	R_scores2	I_scores2	B_scores3	V_scores3	R_scores3	I_scores3	B_scores4	V_scores4	R_scores4	I_scores4	B_scoresSD1	V_scoresSD1	R_scoresSD1	I_scoresSD1	B_scoresSD2	V_scoresSD2	R_scoresSD2	I_scoresSD2	B_scoresSD3	V_scoresSD3	R_scoresSD3	I_scoresSD3	B_scoresSD4	V_scoresSD4	R_scoresSD4	I_scoresSD4
SN2005M	LOSS	0.025597	-0.0619625121031113	HVG	NA	N	15.908	15.946	16.008	16.126	-1.035	-0.671	-0.775	-1.533	-0.199	0.084	0.283	0.793	0.063	0.22	-0.485	0.024	0.159	0.101	-0.03	-0.603	0.126	0.141	0.094	0.106	0.106	0.099	0.079	0.21	0.084	0.063	0.08	0.083	0.093	0.083	0.074	0.093
SN2005cf	LOSS	0.007044874	0.0177868330833046	HVG	CN	N	13.313	13.288	13.325	13.677	1.433	0.259	0.348	-0.567	-0.482	-0.178	0.199	-0.395	-0.308	-0.071	0.097	-0.35	0.245	0.072	0.137	0.855	0.05	0.039	0.034	0.036	0.023	0.017	0.029	0.025	0.036	0.026	0.021	0.012	0.024	0.016	0.014	0.016
SN2005el	LOSS	0.014885	-0.0574094239206637	LVG	CN	N	14.903	14.956	15.003	15.208	2.209	1.67	1.987	1.361	-0.402	-0.11	-0.513	0.472	0.073	-0.402	0.054	1.3	-0.408	-0.196	0.48	0.437	0.074	0.067	0.071	0.068	0.078	0.042	0.056	0.07	0.057	0.04	0.041	0.086	0.052	0.038	0.032	0.07
SN2005eq	LOSS	0.029462049	0.0452930616593257	HVG	NA	NA	16.294	16.227	16.283	16.518	-1.153	-0.523	-0.827	-1.706	-0.315	-0.09	0.349	0.736	0.126	0.319	-0.296	-0.698	-0.078	0.17	-0.119	-0.24	0.115	0.086	0.079	0.108	0.091	0.069	0.027	0.088	0.05	0.034	0.038	0.122	0.07	0.071	0.04	0.096
SN2006cp	LOSS	0.023318799	0.123542720732939	NA	NA	NA	15.97	15.83	15.923	16.307	0.838	-0.029	0.419	-1.521	-0.244	0.174	0.086	0.338	-0.295	-0.016	0.262	0.091	-0.149	0.041	0.414	0.281	0.304	0.291	0.306	0.606	0.165	0.134	0.05	0.221	0.073	0.046	0.114	0.151	0.075	0.079	0.091	0.121
SN2006em	LOSS	0.017984108	0.921524710108933	NA	NA	NA	18.282	17.285	17.064	16.819	1.779	4.929	5.743	6.016	0.526	0.478	0.189	0.852	0.069	-0.016	-0.315	-0.043	0.112	0.106	0.021	-0.148	0.27	0.257	0.332	0.389	0.124	0.13	0.09	0.151	0.053	0.087	0.131	0.165	0.035	0.07	0.118	0.122
SN2006eu	LOSS	0.022927862	0.529192551180014	HVG	NA	NA	17.415	16.877	16.747	16.793	1.475	0.213	-0.403	0.52	-0.392	0.448	-0.208	-0.875	0.083	0.206	0.141	-0.752	-0.122	-0.094	-0.443	-0.287	0.351	0.254	0.171	0.277	0.224	0.126	0.117	0.144	0.12	0.106	0.084	0.101	0.071	0.086	0.105	0.093
SN2007af	LOSS	0.006172604	-0.00515748942154737	HVG	BL	N	13.135	13.116	13.073	13.279	1.796	1.211	0.993	-0.073	-0.464	-0.186	0.253	0.307	0.022	0.242	0.282	0.064	-0.074	0.032	0.176	0.417	0.057	0.054	0.052	0.041	0.026	0.027	0.036	0.061	0.072	0.035	0.029	0.105	0.042	0.027	0.025	0.069
SN2007au	LOSS	0.020853427	0.176923357635012	NA	NA	NA	16.58	16.349	16.352	16.469	4.443	3.757	2.24	2.298	0.109	-0.134	-0.736	-1.227	0.442	-0.112	0.236	0.602	-0.182	-0.154	-0.451	-0.826	0.415	0.239	0.203	0.358	0.202	0.093	0.084	0.124	0.102	0.057	0.083	0.172	0.083	0.058	0.113	0.119
SN2007co	LOSS	0.026562042	0.0439083940711633	LVG	BL	N	16.478	16.419	16.424	16.728	0.674	0.139	0.339	-1.012	-0.103	-0.158	0.03	0.484	0.13	-0.22	0.005	0.222	-0.044	0.077	0.338	0.247	0.151	0.109	0.075	0.174	0.144	0.072	0.042	0.115	0.076	0.049	0.046	0.161	0.096	0.066	0.042	0.091
